trial,cue,state,correct_action,action,reward,p_action1,rho_tha,rho_bg,rho_cb,rho_sum,x_mix,w_actor,v_bg_state,z_bias_tha,z_bias_bg,z_bias_cb,x_tha,x_bg,x_cb,x_bb,cue_strength,bg_confidence,trial_uncertainty,logit_tha,logit_bg,logit_cb,rpe,value_before,e_mix,e_tha,e_cb,delta_z_tha_mismatch,delta_z_cb_mismatch,rolling_accuracy,rolling_abs_rpe,rolling_mismatch
17,1.0,1,1,1,1.0,0.9821382196549512,0.48793431881422666,0.1696478364688508,0.3424178447169224,0.9999999999999998,1.3380990601846863,0.7514574679694742,0.5594354109999999,-0.032637804555367404,-0.167072225100518,-0.00446664137519982,1.872507179342822,1.9592604667697782,0.2688360063914169,0.8907041680862658,1.872507179342822,0.51048379,1.603671172951405,1.4744842082279193,0.4180281422660762,1.1203351635163277,0.48951621,0.51048379,0.20016218947575726,0.9639371529124414,0.38672001052973076,-0.00916529956124021,-0.002238693852647682,0.8235294117647058,0.678947541764706,0.10353761259234932
18,-1.0,0,0,0,1.0,0.09659275148929437,0.26687478817590465,0.31258086050290185,0.42054435132119344,1.0,-0.7437778716732981,0.762000662152096,0.44967951100000003,-0.038862935643086516,-0.16514278323326573,-0.004056775420220792,-0.19286836112794892,-0.8388498580972082,-1.0227167641735617,-0.9435609537005196,0.19286836112794892,0.38853279,0.8298484030456128,0.12165688434699173,0.279740483399482,0.5764272407567291,0.61146721,0.38853279,0.03991327986429551,0.5635393685433276,0.006265642331644161,-0.006283513064148386,0.0004037716503918163,0.8333333333333334,0.6751986344444444,0.10000292744079077
19,-1.0,0,0,0,1.0,0.03215109760005795,0.4975837988596802,0.2309006449496054,0.27151555619071444,1.0,-1.1170034232134576,0.7667439254389554,0.5047115599,-0.040908402152659215,-0.1633097783403474,-0.005079971929311052,-1.448285078547067,-0.8838425700032149,-0.7081745710934501,-1.0176480282478333,1.448285078547067,0.44967951100000003,0.7401105074536168,1.119765127194567,0.3519886544167343,0.514020579797311,0.550320489,0.44967951100000003,0.0098714945087752,0.18544826909042464,0.09577382068308588,-0.0021069212949797935,-0.001030827914091728,0.8421052631578947,0.6686261004736842,0.09525916781278995
20,-1.0,0,0,0,1.0,0.021376380360919954,0.4924889624805776,0.1925792898353952,0.3149317476840271,0.9999999999999999,-1.246785398886916,0.7699119993827047,0.5542404039100001,-0.04635699106727829,-0.16136794088566273,-0.00879229643386416,-1.7462262533503594,-1.2881626316924502,-0.4404598753041525,-1.036138596460376,1.7462262533503594,0.5047115599,1.305766378046207,1.3560726005276285,0.41710851554465256,0.9089564927030337,0.49528844009999995,0.5047115599,0.04437207537252578,0.5042244804675068,0.3548331388383139,-0.005518228861139772,-0.0037255327615894574,0.85,0.659959217455,0.09271481319077675
21,1.0,1,1,1,1.0,0.9867050875139033,0.477531828354539,0.2779093870135919,0.2445587846318691,1.0,1.3985331307951356,0.7718779792719298,0.6034918698999999,-0.045617190913607136,-0.15928887281442422,-0.006055203411265713,1.3370943402580275,2.014428475964253,0.818614809411249,0.9125696024610307,1.3370943402580275,0.5594354109999999,0.5184795308467786,1.0233184811391438,0.4819827817643372,0.35414337515888084,0.44056458900000006,0.5594354109999999,0.2361605508709324,0.18022125300160893,0.00882750313702731,0.0006712715744318817,0.0027279965728068613,0.8571428571428571,0.6495118541952382,0.09954556260411748
22,-1.0,0,0,1,0.0,0.19092000380340463,0.27759938114247684,0.3588223403683933,0.3635782784891298,0.9999999999999999,-0.4677045212142624,0.8222132554855844,0.49881636351900005,-0.04786445974810218,-0.15466379231293192,-0.000981774698228161,-0.3338204869246695,0.012918148555371767,-1.0442633770832113,-1.1225231286162707,0.3338204869246695,0.5542404039100001,0.7104428901585418,0.22143919862612846,0.47808759168207576,0.4912548196997135,-0.5542404039100001,0.5542404039100001,0.42878740859990544,0.6220518570113103,0.006124588710016196,-0.002319173380936858,0.005071953838678671,0.8181818181818182,0.6451813337277272,0.1145111010584715
23,1.0,1,1,1,1.0,0.953284465367061,0.4169248074845933,0.36398919545027647,0.21908599706513013,0.9999999999999999,0.916987343873493,0.8262897607118567,0.64314268291,-0.04788682100497802,-0.1523840850787407,-0.0014399230826209523,0.9037475265121622,0.9682166309429089,0.8570706953645453,1.207134480820646,0.9037475265121622,0.6034918698999999,0.04667683114761689,0.6751335614616276,0.539351858072068,0.03169200710510366,0.3965081301000001,0.6034918698999999,0.0841853610786299,0.09204364404457799,0.12254465388785485,-9.429939559137712e-05,-0.00046031151371069944,0.8260869565217391,0.6343694553091305,0.11319259062456534
24,1.0,1,1,1,1.0,0.9832840023815568,0.49343681658499716,0.2702771266601663,0.23628605675483652,0.9999999999999999,1.2327793420535422,0.8280546745024134,0.678828414619,-0.05377935862127875,-0.15009310121138233,0.002334250006866803,1.546329766325882,0.9535585687091591,0.8973793783108784,0.5957790057764712,1.546329766325882,0.64314268291,0.6489503880150035,1.1891769920557276,0.5872300002677593,0.4528253485278814,0.35685731709,0.64314268291,0.4057694284171015,0.9035467483810631,0.0909627847128932,-0.005973327839567539,0.0037776797244504995,0.8333333333333334,0.62280644955,0.12538329219925434
25,1.0,1,1,1,1.0,0.9702180345709226,0.35764932314109105,0.3949244963544959,0.24742618050441312,1.0,1.0517475198337782,0.8304690966649738,0.7109455731571,-0.05644730596491172,-0.14767043107663283,0.0018013451068797735,0.7314966226206053,1.398634427285265,0.9609866288567289,1.2497716663010636,0.7314966226206053,0.678828414619,0.2294900062361236,0.5314179394752054,0.6305595756004676,0.1629772543721533,0.321171585381,0.678828414619,0.039213562584096896,0.26860902090198097,0.0833967978517258,-0.002752745499814609,-0.0005301988232115468,0.84,0.61074105498324,0.12193650301464805
26,1.0,1,1,1,1.0,0.9813627522071277,0.4603814271527252,0.26498493221138286,0.27463364063589196,1.0,1.1932352562431552,0.8320118579183516,0.73985101584139,-0.061547010141150084,-0.14520704487252228,0.002246647068528339,1.5984333182336254,1.1114550375897077,0.5928895157110768,0.8619222053758352,1.5984333182336254,0.7109455731571,1.0055438025225487,1.2222993486219886,0.6699169780540322,0.7056820068726638,0.28905442684289995,0.7109455731571,0.10976833767501136,0.5424486193630207,0.07237858810825418,-0.005192163380256112,0.0004486769948010862,0.8461538461538461,0.5983684923624577,0.12146849665543126
